Segment #,Depth from Pile Head,Top Elevation of Segment,Midpoint Elevation,Bottom Elevation of Segment, Shaft Shape,Shaft Size, Shaft Perimeter, Soil Cylinder Diameter, Soil Cylinder Perimeter, Helix Diameter, Helix Area, Is Interhelix?, Helix ID, Thickness,Is Segment Above Ground?,Soil Layer Name,Phi,Delta,Coeff. of Lateral Earth Pressure,Adhesion Factor (Alpha),Undrained Shear Strength,Soil Unit Weight,Saturated Unit Weight,NcPrime (C),NqPrime (C), NgammaPrime (C), NcPrime (U),NqPrime (U), NgammaPrime (U), 
18,0.85085,0.34915,0.324125,0.2991,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 1, n/a, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
19,0.9009,0.2991,0.274075,0.24905,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 1, n/a, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
20,0.95095,0.24905,0.224025,0.199,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 1, n/a, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
21,1.001,0.199,0.173975,0.14895,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 1, n/a, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
22,1.05105,0.14895,0.123925,0.0989,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 1, n/a, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
23,1.1011,0.0989,0.073875,0.04885,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 1, n/a, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
24,1.15115,0.04885,0.023825,-0.0012,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 1, n/a, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
25,1.2012,-0.0012,-0.026225,-0.05125,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
26,1.25125,-0.05125,-0.076275,-0.1013,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
27,1.3013,-0.1013,-0.126325,-0.15135,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
28,1.35135,-0.15135,-0.176375,-0.2014,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
29,1.4014,-0.2014,-0.226425,-0.25145,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
30,1.45145,-0.25145,-0.276475,-0.3015,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
31,1.5015,-0.3015,-0.326525,-0.35155,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
32,1.55155,-0.35155,-0.376575,-0.4016,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
33,1.6016,-0.4016,-0.426625,-0.45165,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
34,1.65165,-0.45165,-0.476675,-0.5017,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
35,1.7017,-0.5017,-0.526725,-0.55175,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
36,1.75175,-0.55175,-0.576775,-0.6018,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
37,1.8018,-0.6018,-0.626825,-0.65185,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
38,1.85185,-0.65185,-0.676875,-0.7019,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
39,1.9019,-0.7019,-0.726925,-0.75195,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
40,1.95195,-0.75195,-0.776975,-0.802,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
41,2.002,-0.802,-0.827025,-0.85205,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
42,2.05205,-0.85205,-0.877075,-0.9021,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
43,2.1021,-0.9021,-0.927125,-0.95215,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
44,2.15215,-0.95215,-0.977175,-1.0022,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
45,2.2022,-1.0022,-1.02723,-1.05225,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
46,2.25225,-1.05225,-1.07728,-1.1023,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
47,2.3023,-1.1023,-1.12733,-1.15235,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
48,2.35235,-1.15235,-1.17738,-1.2024,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
49,2.4024,-1.2024,-1.22743,-1.25245,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
50,2.45245,-1.25245,-1.27748,-1.3025,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
51,2.5025,-1.3025,-1.32753,-1.35255,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
52,2.55255,-1.35255,-1.37757,-1.4026,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
53,2.6026,-1.4026,-1.42762,-1.45265,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
54,2.65265,-1.45265,-1.47767,-1.5027,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
55,2.7027,-1.5027,-1.52772,-1.55275,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
56,2.75275,-1.55275,-1.57777,-1.6028,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
57,2.8028,-1.6028,-1.62782,-1.65285,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
58,2.85285,-1.65285,-1.67787,-1.7029,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
59,2.9029,-1.7029,-1.72792,-1.75295,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
60,2.95295,-1.75295,-1.77797,-1.803,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
61,3.003,-1.803,-1.82802,-1.85305,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
62,3.05305,-1.85305,-1.87807,-1.9031,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
63,3.1031,-1.9031,-1.92812,-1.95315,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
64,3.15315,-1.95315,-1.97817,-2.0032,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
65,3.2032,-2.0032,-2.02822,-2.05325,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
66,3.25325,-2.05325,-2.07827,-2.1033,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
67,3.3033,-2.1033,-2.12832,-2.15335,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
68,3.35335,-2.15335,-2.17837,-2.2034,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
69,3.4034,-2.2034,-2.22842,-2.25345,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
70,3.45345,-2.25345,-2.27847,-2.3035,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
71,3.5035,-2.3035,-2.32852,-2.35355,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
72,3.55355,-2.35355,-2.37858,-2.4036,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
73,3.6036,-2.4036,-2.42863,-2.45365,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
74,3.65365,-2.45365,-2.47868,-2.5037,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
75,3.7037,-2.5037,-2.52873,-2.55375,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
76,3.75375,-2.55375,-2.57878,-2.6038,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
77,3.8038,-2.6038,-2.62883,-2.65385,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
78,3.85385,-2.65385,-2.67888,-2.7039,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
79,3.9039,-2.7039,-2.72893,-2.75395,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
80,3.95395,-2.75395,-2.77898,-2.804,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
81,4.004,-2.804,-2.82903,-2.85405,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
82,4.05405,-2.85405,-2.87908,-2.9041,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
83,4.1041,-2.9041,-2.92913,-2.95415,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
84,4.15415,-2.95415,-2.97918,-3.0042,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
85,4.2042,-3.0042,-3.02923,-3.05425,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
86,4.25425,-3.05425,-3.07928,-3.1043,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
87,4.3043,-3.1043,-3.12933,-3.15435,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
88,4.35435,-3.15435,-3.17938,-3.2044,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
89,4.4044,-3.2044,-3.22943,-3.25445,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
90,4.45445,-3.25445,-3.27948,-3.3045,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
91,4.5045,-3.3045,-3.32953,-3.35455,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
92,4.55455,-3.35455,-3.37958,-3.4046,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
93,4.6046,-3.4046,-3.42963,-3.45465,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
94,4.65465,-3.45465,-3.47968,-3.5047,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
95,4.7047,-3.5047,-3.52973,-3.55475,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
96,4.75475,-3.55475,-3.57978,-3.6048,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
97,4.8048,-3.6048,-3.62983,-3.65485,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
98,4.85485,-3.65485,-3.67988,-3.7049,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
99,4.9049,-3.7049,-3.72993,-3.75495,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
100,4.95495,-3.75495,-3.77998,-3.805,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
101,5.005,-3.805,-3.83003,-3.85505,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
102,5.05505,-3.85505,-3.88008,-3.9051,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
103,5.1051,-3.9051,-3.93013,-3.95515,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
104,5.15515,-3.95515,-3.98018,-4.0052,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
105,5.2052,-4.0052,-4.03023,-4.05525,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
106,5.25525,-4.05525,-4.08028,-4.1053,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
107,5.3053,-4.1053,-4.13033,-4.15535,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
108,5.35535,-4.15535,-4.18038,-4.2054,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
109,5.4054,-4.2054,-4.23043,-4.25545,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
110,5.45545,-4.25545,-4.28048,-4.3055,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
111,5.5055,-4.3055,-4.33053,-4.35555,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
112,5.55555,-4.35555,-4.38058,-4.4056,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
113,5.6056,-4.4056,-4.43063,-4.45565,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
114,5.65565,-4.45565,-4.48068,-4.5057,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
115,5.7057,-4.5057,-4.53073,-4.55575,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
116,5.75575,-4.55575,-4.58078,-4.6058,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
117,5.8058,-4.6058,-4.63083,-4.65585,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
118,5.85585,-4.65585,-4.68088,-4.7059,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
119,5.9059,-4.7059,-4.73093,-4.75595,Square,0.1,0.4, 0.3,0.942478, 0,0,0, -1, 0.05005, 0, Sand (Fill), 28, 20, 1, 0, 0, 21, 22, 0, 0, 0, 0, 0, 0, 
